DATE,CPIAUCNS
2017-01-01,242.839
2017-02-01,243.603
2017-03-01,243.801
2017-04-01,244.524
2017-05-01,244.733
2017-06-01,244.955
2017-07-01,244.786
2017-08-01,245.519
2017-09-01,246.819
2017-10-01,246.663
2017-11-01,246.669
2017-12-01,246.524
2018-01-01,247.867
2018-02-01,248.991
2018-03-01,249.554
2018-04-01,250.546
2018-05-01,251.588
2018-06-01,251.989
2018-07-01,252.006
2018-08-01,252.146
2018-09-01,252.439
2018-10-01,252.885
2018-11-01,252.038
2018-12-01,251.233
2019-01-01,251.712
2019-02-01,252.776
2019-03-01,254.202
2019-04-01,255.548
2019-05-01,256.092
2019-06-01,256.143
2019-07-01,256.571
2019-08-01,256.558
2019-09-01,256.759
2019-10-01,257.346
2019-11-01,257.208
2019-12-01,256.974
2020-01-01,257.971
2020-02-01,258.678
2020-03-01,258.115
